20:31:48.355 [TestNG-tests-1] INFO  BasePackage.BaseClass - Chrome browser launched on local machine
20:31:52.317 [TestNG-tests-2] INFO  BasePackage.BaseClass - Chrome browser launched on local machine
20:31:57.378 [TestNG-tests-1] INFO  BasePackage.BaseClass - Switching to the iframe
20:31:58.700 [TestNG-tests-2] INFO  BasePackage.BaseClass - Switching to the iframe
20:31:58.782 [TestNG-tests-2] INFO  BasePackage.BaseClass - Capturing the list of onsale prods
20:32:23.866 [TestNG-tests-2] INFO  BasePackage.BaseClass - Iterating through the captured list of onsale prods to get the price and discount info
20:32:23.867 [TestNG-tests-2] INFO  BasePackage.BaseClass - Re-Capturing the list of onsale prods as there might be a chance of getting a staleElementReference Exception due to forth and back Navigation
20:32:23.910 [TestNG-tests-2] INFO  BasePackage.BaseClass - Scroll into the view
20:32:23.923 [TestNG-tests-2] INFO  BasePackage.BaseClass - Click on the onsale item 1
20:32:30.078 [TestNG-tests-1] INFO  BasePackage.BaseClass - Capturing the list of onsale prods
20:32:30.135 [TestNG-tests-1] INFO  BasePackage.BaseClass - Iterating through the captured list of onsale prods to get the price and discount info
20:32:30.135 [TestNG-tests-1] INFO  BasePackage.BaseClass - Re-Capturing the list of onsale prods as there might be a chance of getting a staleElementReference Exception due to forth and back Navigation
20:32:30.172 [TestNG-tests-1] INFO  BasePackage.BaseClass - Scroll into the view
20:32:30.183 [TestNG-tests-1] INFO  BasePackage.BaseClass - Click on the onsale item 1
20:32:36.854 [TestNG-tests-2] INFO  BasePackage.BaseClass - Get the discounted price and load it in the work book
20:32:36.920 [TestNG-tests-2] INFO  BasePackage.BaseClass - Get the discount percentage and load it in the work book
20:32:36.921 [TestNG-tests-2] INFO  BasePackage.BaseClass - Navigate back to the home page
20:32:36.935 [TestNG-tests-2] INFO  BasePackage.BaseClass - After Navigation, We need to switch to iframe again as the driver instance is rooted back to default content
20:32:41.364 [TestNG-tests-2] INFO  BasePackage.BaseClass - Re-Capturing the list of onsale prods as there might be a chance of getting a staleElementReference Exception due to forth and back Navigation
20:32:41.400 [TestNG-tests-2] INFO  BasePackage.BaseClass - Scroll into the view
